x,y,z
1.4306,1.1187,2.21975333366154
1.4106,1.1187,2.06390252711313
1.3906,1.1187,1.88835001686216
1.3706,1.1187,1.68871761447508
1.3506,1.1187,1.45390327218957
1.3506,1.1387,1.64164605199325
1.3706,1.1387,1.81475015217619
1.3906,1.1387,1.95969517224277
1.4106,1.1387,2.0821097835705
1.4306,1.1387,2.18642481830306
1.4306,1.1587,2.13660033846013
1.4106,1.1587,2.08019017080031
1.3906,1.1587,2.00838807042415
1.3706,1.1587,1.91963191485539
1.3506,1.1587,1.80456156579719
1.3506,1.1787,1.93234660117442
1.3706,1.1787,1.98916834503792
1.3906,1.1787,2.02526300467408
1.4106,1.1787,2.04707095929759
1.4306,1.1787,2.05827523401503
1.4306,1.1987,1.94316640955951
1.4106,1.1987,1.97706997276409
1.3906,1.1987,2.00366133053773
1.3706,1.1987,2.01806032537196
1.3506,1.1987,2.01490366317366
